"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","flux","fluxerr"
706444464,60779.40385,17.038,0.035,18.88,atlaso,ATLAS,555.6483128371256,17.91198530920481
706444465,60779.407637,17.017,0.034,18.91,atlaso,ATLAS,566.5001119195325,17.740040095241092
706444466,60779.413192,17.01,0.034,18.93,atlaso,ATLAS,570.1642722807461,17.854783853195645
706444467,60779.425664,16.989,0.036,18.93,atlaso,ATLAS,581.2995677253872,19.274280756600376
706444468,60780.400736,17.017,0.038,19.1,atlaso,ATLAS,566.5001119195325,19.82710363585769
706444469,60780.405932,16.981,0.032,19.1,atlaso,ATLAS,585.5985598492865,17.259398584163186
706444470,60780.4087,17.009,0.036,19.04,atlaso,ATLAS,570.6896548928049,18.922485485982087
706444471,60780.420811,17.038,0.033,19,atlaso,ATLAS,555.6483128371256,16.88844329153596
706444472,60781.40468,16.985,0.034,19.17,atlaso,ATLAS,583.4451042737447,18.270675195662708
706444473,60781.40832,16.967,0.033,19.21,atlaso,ATLAS,593.1984396649729,18.02974647355061
706444474,60781.413733,16.925,0.030000000000000006,19.23,atlaso,ATLAS,616.5950018614809,17.037149516410587
706444475,60781.449087,16.897,0.03699999999999999,19.17,atlaso,ATLAS,632.7031548665012,21.56142221975145
706444476,60782.435029,,,15.18,atlaso,ATLAS,,3076.0968147407048
706444477,60782.437848,,,15.29,atlaso,ATLAS,,2779.7132677592886
706444478,60782.443393,,,15.86,atlaso,ATLAS,,1644.3717232149306
706444479,60789.288503,16.636,0.019,19.43,atlaso,ATLAS,804.6370017397996,14.0808632576289
706444480,60789.29122,16.629,0.018,19.47,atlaso,ATLAS,809.8414473257865,13.426047678967768
706444481,60789.294396,16.682,0.021,19.47,atlaso,ATLAS,771.2585649892137,14.917463186540404
706444482,60789.299829,16.637,0.019,19.46,atlaso,ATLAS,803.8962448571247,14.06790027388649
706444483,60790.374432,16.591,0.018,19.57,atlaso,ATLAS,838.6871712481624,13.904269763049816
706444484,60790.385496,16.635,0.018,19.6,atlaso,ATLAS,805.3784411990644,13.352057229050981
706444485,60790.388673,16.599,0.019,19.58,atlaso,ATLAS,832.5302067492414,14.568984490813213
706444486,60790.394193,16.589,0.019,19.56,atlaso,ATLAS,840.2335139076923,14.703789644559718
706444487,60791.42015,16.657,0.018,19.54,atlasc,ATLAS,789.2234847899726,13.084230464051071
706444488,60791.422942,16.632,0.017,19.55,atlasc,ATLAS,807.6068613289741,12.645167935291479
706444489,60791.428596,16.636,0.018,19.49,atlasc,ATLAS,804.6370017397996,13.339765191437905
706444490,60791.448851,16.628,0.018,19.5,atlasc,ATLAS,810.5876824647362,13.438419222296828
706444491,60792.39375,16.653,0.015,19.56,atlasc,ATLAS,792.1364541528511,10.9437695456971
706444492,60792.396948,16.66,0.014,19.6,atlasc,ATLAS,787.0457896950977,10.14854345599169
706444493,60792.403411,16.648,0.016,19.55,atlasc,ATLAS,795.7927898970919,11.727235936826794
706444494,60792.415339,16.671,0.015,19.56,atlasc,ATLAS,779.1121911130926,10.763832702161613
706444495,60793.382125,16.573,0.018,19.55,atlaso,ATLAS,852.707337343628,14.136704666309397
706444496,60793.385302,16.506,0.017,19.56,atlaso,ATLAS,906.9847815057911,14.201185534780338
706444497,60793.390845,16.519,0.018,19.55,atlaso,ATLAS,896.1898068616147,14.857583686363924
706444498,60793.4008,16.504,0.018,19.5,atlaso,ATLAS,908.6570489581445,15.064273264139889
706444499,60797.34671,16.46,0.018,19.46,atlaso,ATLAS,946.237161365791,15.687299391824679
706444500,60797.349898,16.439,0.019,19.46,atlaso,ATLAS,964.7171518961666,16.882209330129573
706444501,60797.356739,16.489,0.02,19.51,atlaso,ATLAS,921.2977276685544,16.970931311511215
706444502,60797.366595,16.459,0.017,19.46,atlaso,ATLAS,947.1090794701603,14.82943488522567
706444503,60798.379812,16.467,0.016,19.35,atlaso,ATLAS,940.1561688035704,13.854653307990368
706444504,60798.38368,16.465,0.017,19.34,atlaso,ATLAS,941.8895965228409,14.747710420557757
706444505,60798.392291,16.446,0.017,19.36,atlaso,ATLAS,958.5173976856435,15.008061524747578
706444506,60798.414328,16.424,0.015,19.31,atlaso,ATLAS,978.1377043229854,13.513471781217145
706444507,60799.343266,16.479,0.018,19.42,atlaso,ATLAS,929.8223905853808,15.415165264996695
706444508,60799.367418,16.488,0.017,19.36,atlaso,ATLAS,922.1466651242639,14.438583919751258
706444509,60799.371096,16.458,0.018,19.35,atlaso,ATLAS,947.9818010107197,15.716223096745905
706444510,60799.379259,16.472,0.016,19.35,atlaso,ATLAS,935.8365435835283,13.790996958300832
706444511,60800.335722,16.408,0.067,17.72,atlaso,ATLAS,992.6588068710286,61.25626074629704
706444512,60800.343517,16.334,0.239,16.27,atlaso,ATLAS,1062.6738654024643,233.92335331377126
706444513,60800.346804,,,15.1,atlaso,ATLAS,,3311.311214825908
706444514,60800.356723,,,14.16,atlaso,ATLAS,,7870.457896950977
706444515,60801.249289,,,15.34,atlaso,ATLAS,,2654.605561975536
706444516,60801.251125,,,15.38,atlaso,ATLAS,,2558.5858869056424
706444517,60801.253874,16.41,0.054,17.75,atlaso,ATLAS,990.8319448927665,49.27985710500346
706444518,60801.259002,16.389,0.045000000000000005,18.3,atlaso,ATLAS,1010.182870544833,41.8685763404604
706444519,60803.338484,16.43,0.02,18.85,atlaso,ATLAS,972.7472237769641,17.91866605376145
706444520,60803.342171,16.431,0.024,18.9,atlaso,ATLAS,971.8517029401671,21.482603940392707
706444521,60803.351929,16.39,0.023,18.88,atlaso,ATLAS,1009.2528860766834,21.379793984980783
706444522,60803.361924,16.411,0.024,18.81,atlaso,ATLAS,989.9197750805821,21.88199536666145
706444523,60804.356726,16.44,0.027,18.75,atlaso,ATLAS,963.8290236239685,23.968422093508806
706444524,60804.364604,16.437,0.026,18.79,atlaso,ATLAS,966.4958643142114,23.144565283947113
706444525,60804.367821,16.365,0.025,18.74,atlaso,ATLAS,1032.761405761398,23.780210175257704
706444526,60804.378166,16.447,0.023,18.74,atlaso,ATLAS,957.6349769692685,20.286331406992034
706444527,60805.349722,16.406,0.026,18.79,atlaso,ATLAS,994.4890371547928,23.814914573825728
706444528,60805.352505,16.415,0.026,18.7,atlaso,ATLAS,986.2794856312099,23.6183213878587
706444529,60805.358408,16.324,0.023,18.7,atlaso,ATLAS,1072.506665615701,22.71974831552786
706444530,60805.369423,16.349,0.025,18.64,atlaso,ATLAS,1048.093433362872,24.133243157262978
706444531,60806.437839,16.396,0.026,18.57,atlaso,ATLAS,1003.6909309200955,24.035271265303262
706444532,60806.441014,16.409,0.05,18.03,atlaso,ATLAS,991.744955231413,45.67154299935798
706444533,60806.49452,16.424,0.03699999999999999,18.2,atlaso,ATLAS,978.1377043229854,33.333230393668956
706444534,60806.50142,16.443,0.03699999999999999,18.19,atlaso,ATLAS,961.1695415159294,32.75498494039061
706444535,60807.356301,16.43,0.026,18.79,atlaso,ATLAS,972.7472237769641,23.294265869889884
706444536,60807.359515,16.448,0.024,18.78,atlaso,ATLAS,956.75336861824,21.14885802482109
706444537,60807.366908,16.413,0.027,18.8,atlaso,ATLAS,988.0979539411265,24.57193988695776
706444538,60807.376882,16.383,0.028,18.64,atlaso,ATLAS,1015.7808007969007,26.195923372242383
706444539,60808.352054,16.412,0.022,18.81,atlaso,ATLAS,989.0084450210658,20.040029700686404
706444540,60808.355285,16.389,0.024,18.86,atlaso,ATLAS,1010.182870544833,22.32990738157888
706444541,60808.365114,16.417,0.025999999999999995,18.75,atlaso,ATLAS,984.4643639803761,23.574854878484818
706444542,60808.372014,16.4,0.025,18.82,atlaso,ATLAS,1000,23.02585092994046
706444543,60809.36179,16.474,0.039,18.33,atlaso,ATLAS,934.1142557364784,33.55368994242787
706444544,60809.365439,16.35,0.038,18.29,atlaso,ATLAS,1047.1285480508975,36.64875929489554
706444545,60809.371355,16.478,0.042,18.41,atlaso,ATLAS,930.6791831626513,36.001862626971295
706444546,60810.248566,16.466,0.023,18.86,atlaso,ATLAS,941.0224835267497,19.934415953216547
706444547,60810.251739,16.414,0.023,18.93,atlaso,ATLAS,987.1883010683936,20.91238260736745
706444548,60810.25456,16.473,0.028,18.76,atlaso,ATLAS,934.9750030886006,24.11202644965939
706444549,60810.260015,16.399,0.022,18.99,atlaso,ATLAS,1000.9214583192937,20.28142009681803
705470362,60810.26857639989,,,20.067699432373047,ztfg,ZTF,,34.113024569742905
705470363,60810.30444440013,,,20.158000946044922,ztfr,ZTF,,31.390600339492313
705470411,60810.40428239992,,,19.545900344848633,ztfr,ZTF,,55.161981979622574
705470458,60811.23663190007,,,20.628599166870117,ztfg,ZTF,,20.349808807370643
705470412,60811.31547449995,,,19.981700897216797,ztfr,ZTF,,36.92492663625603
705470459,60811.344432900194,,,19.872600555419922,ztfg,ZTF,,40.8281571598406
706444550,60811.377255,16.468,0.019,19.2,atlaso,ATLAS,939.290651618398,16.43725455827942
706444551,60811.38049,16.46,0.016,19.24,atlaso,ATLAS,946.237161365791,13.944266126066381
706444552,60811.386119,16.483,0.021,19.23,atlaso,ATLAS,926.4031007363976,17.91822454681636
706444553,60811.411457,16.447,0.018,19.18,atlaso,ATLAS,957.6349769692685,15.876259361993766
706444554,60812.416897,16.469,0.02,19.23,atlaso,ATLAS,938.4259312370158,17.28644448116327
706444555,60812.420137,16.454,0.019,19.22,atlaso,ATLAS,951.480736351757,16.65057673443861
706444556,60812.425694,16.454,0.02,19.1,atlaso,ATLAS,951.480736351757,17.52692287835643
706444557,60812.437288,16.438,0.019,19.13,atlaso,ATLAS,965.6060985415496,16.89776558236493
706444558,60813.343873,16.694,0.018,19.53,atlasc,ATLAS,762.7812340691609,12.645854631239414
706444559,60813.347639,16.65,0.02,19.5,atlasc,ATLAS,794.3282347242822,14.632066817763263
706444560,60813.353085,16.672,0.019,19.48,atlasc,ATLAS,778.3949326267252,13.621636319295856
706444561,60813.363913,16.704,0.02,19.46,atlasc,ATLAS,755.7880136804505,13.922129710113484
706089202,60814.30180560006,17.00459633061741,0.011758087866844735,20.170640366463445,ztfg,ZTF,573.0090322724669,6.205458121806166
705470364,60814.30180560006,,,20.00979995727539,ztfg,ZTF,,35.981562369519736
706444562,60814.347096,16.713,0.02,19.54,atlasc,ATLAS,749.5489497919569,13.807201906082422
706444563,60814.350802,16.738,0.02,19.52,atlasc,ATLAS,732.4871326650396,13.492911619875779
706444564,60814.356729,16.659,0.019,19.53,atlasc,ATLAS,787.7710195856797,13.78571452856937
706444565,60814.367116,16.699,0.021,19.53,atlasc,ATLAS,759.2765726465238,14.685710908138173
705470365,60814.380370399915,,,18.951000213623047,ztfr,ZTF,,95.41132225562745
705470460,60815.19157409994,,,20.60919952392578,ztfg,ZTF,,20.71668155785077
706444566,60815.382547,16.471,0.016,19.55,atlaso,ATLAS,936.6988779521153,13.803704787179456
706444567,60815.385761,16.461,0.017,19.53,atlaso,ATLAS,945.3660459579653,14.80214320094964
706444568,60815.391928,16.479,0.016,19.48,atlaso,ATLAS,929.8223905853808,13.702369124441507
706444569,60815.401757,16.476,0.018,19.41,atlaso,ATLAS,932.3951375406327,15.457817840264598
705470461,60816.19087960012,,,20.667200088500977,ztfg,ZTF,,19.63902688201832
705470462,60816.216030099895,,,20.58690071105957,ztfg,ZTF,,21.146559349104496
706444570,60816.352622,16.478,0.016,19.59,atlaso,ATLAS,930.6791831626513,13.714995286465255
706444571,60816.355842,16.464,0.017,19.56,atlaso,ATLAS,942.7575085274159,14.76129982101536
706444572,60816.363297,16.5,0.015,19.55,atlaso,ATLAS,912.0108393559087,12.599895380099419
706444573,60816.374931,16.498,0.016,19.58,atlaso,ATLAS,913.6923736814522,13.464668411016046
705470366,60817.24914349988,,,20.71190071105957,ztfr,ZTF,,18.846890858190307
706089203,60817.25797449984,16.991525251643502,0.008833089786670117,20.468129428285444,ztfg,ZTF,579.9491274245304,4.718220403622872
